Break estimates and errors in mm.
Break times in years.

                           N             E             V      SN      SE      SV
AC43 2010.9185         1.293         2.601        -1.254   1.263   0.886   3.624
AC43 2012.0301         1.479         0.942        -4.904   1.201   0.847   3.431
AC43 2013.0705         1.722        -1.665        -3.386   1.629   1.139   4.590
AC43 2013.4483         0.356        -1.105         4.857   1.760   1.232   4.996
AC43 2014.0835         0.643        -1.558        -2.335   1.355   0.952   3.913
AC43 2016.0630         1.323         5.338        -1.752   1.346   0.928   3.884
AC43 2016.6899        -2.483         3.616         2.357   1.349   0.930   3.919
AC43 2018.0643       -11.275        -2.557         2.004   1.230   0.857   3.576
AC44 2009.5414        -4.673        -1.492         5.291   2.096   1.458   6.048
AC44 2010.0999        -6.630        -0.652         4.009   1.610   1.121   4.687
AC44 2010.7269        -7.193         0.204         3.962   1.424   1.001   4.097
AC44 2011.5291        -9.000        -1.639         3.542   1.538   1.092   4.435
AC44 2012.0055        -7.742        -0.034        -0.067   1.788   1.266   5.117
AC44 2012.4353        -5.265        -1.599         4.624   1.645   1.164   4.704
AC44 2013.1143        -3.113        -1.616        -4.961   1.798   1.261   5.118
AC44 2013.4538        -1.642        -0.342         9.766   1.696   1.185   4.815
AC44 2017.6235         1.899        -3.119        -1.830   1.496   1.040   4.402
AC44 2018.0643        -4.940         0.717        -0.101   1.432   0.999   4.223
AC44 2019.5838         2.705        -1.222         3.073   1.347   0.947   3.936
AC45 2015.5455        -2.294         2.008         0.995   0.891   0.625   2.502
AC45 2018.0479       -20.973         0.273        29.907   4.144   2.853  11.582
AC45 2018.0890        29.346       -22.272       -27.299   4.143   2.853  11.582
AC46 2008.1451        -2.391         1.526        -4.781   1.044   0.737   3.063
AC46 2009.5195        -3.675         0.764         4.759   1.016   0.717   2.979
AC46 2011.2772        -1.598         4.229        -4.494   1.033   0.729   3.009
AC46 2015.9918        -0.269        -3.417         0.632   1.159   0.809   3.393
AC47 2008.1232        -5.786        16.617        92.837   2.915   2.087   8.860
AC47 2008.2601        -8.264        33.833       173.828   3.613   2.603  11.347
AC47 2008.4216        -1.594       -19.980      -102.470   5.792   4.151  17.998
AC47 2008.4545        13.951       -31.724      -176.969   5.239   3.745  16.133
AC47 2019.0773       -12.208        24.001       170.810   2.515   1.782   7.848
AC47 2019.2088        -1.338        18.390        51.270   3.848   2.766  12.412
AC47 2019.4141        17.626       -46.133      -219.486   3.238   2.337  10.491
AC48 2012.0192         6.658        10.979        47.254   3.892   2.928  12.746
AC48 2012.1013         8.936       -14.294        65.329   5.465   4.267  17.664
AC48 2012.1780         3.648         4.356        76.522   7.128   5.717  23.166
AC48 2012.2163        -1.123         4.944        43.303   7.861   6.147  25.407
AC48 2012.2847        -1.666        53.365       -23.752  25.415  20.532  77.911
AC48 2012.2902       -32.148       -40.819        34.478  28.222  21.978  86.625
AC48 2012.3039        18.471       -17.420      -246.727  13.347   8.792  41.351
AC48 2013.2266         5.646        10.009       111.980   2.921   2.138   8.909
AC48 2013.3662        -5.461       -10.765      -113.142   2.832   2.066   8.634
AC48 2018.0671       -12.394        -3.473        -2.855   1.184   0.876   3.631
AC48 2018.9158        -5.016         4.744         2.311   1.305   0.970   3.998
AC50 2011.8576        11.585        -0.229         8.984   1.480   1.084   4.726
AC50 2012.2710       -12.686         1.753        -9.407   1.457   1.070   4.642
AC50 2018.8474        17.779         4.330        26.682   2.057   1.464   6.743
AC50 2019.0746        -4.021        -4.044       -17.634   2.831   2.010   9.360
AC50 2019.2471       -12.889         0.417        -5.744   2.273   1.610   7.530
AC51 2007.9589        -4.410         3.654        -6.175   2.031   1.400   5.984
AC51 2009.1855        -3.044         1.147         0.545   1.719   1.206   4.984
AC51 2009.5332        -1.523         1.188         4.935   1.643   1.152   4.740
AC51 2011.0719        -1.201         3.459        -2.240   0.938   0.660   2.728
AC51 2013.6126         2.669         0.578         3.919   1.013   0.712   2.941
AC51 2019.5838         3.478        -1.208         9.285   1.446   1.012   4.267
AC52 2007.9918         4.740        -0.383        -1.635   1.882   1.331   5.314
AC52 2008.9829         5.904        -0.655         2.036   1.213   0.869   3.475
AC52 2010.9569         2.599        -0.446         0.040   1.114   0.797   3.152
AC52 2012.2026         0.577         2.592        -1.835   1.226   0.876   3.444
AC52 2016.2574        -2.069         1.805        -0.811   1.213   0.845   3.455
AC52 2017.2868        -1.452         2.666        -0.099   1.270   0.878   3.651
AC52 2018.0643         3.508        -9.759         1.010   1.203   0.837   3.458
AC53 2009.9658         0.169         4.488       -15.197   2.458   1.787   7.907
AC53 2010.1300        -6.220        -3.571        15.308   2.568   1.869   8.239
AC53 2010.9240        -3.763         3.068        -4.601   1.407   1.034   4.378
AC53 2011.8877        -6.058         8.402       -11.575   1.270   0.935   3.953
AC53 2015.6085         5.490        -5.336         4.117   1.228   0.893   3.860
AC53 2016.9966        -3.596        -2.898       -37.763   3.318   2.381  10.348
AC53 2017.1145         7.342        -2.090        37.749   3.303   2.371  10.313
AC53 2018.9158       -25.859         2.100       -21.963   1.185   0.861   3.782
AC57 2008.1451         1.783         3.090        -6.757   0.961   0.710   2.889
AC57 2012.0219        -1.129         1.649       -13.427   1.030   0.767   3.098
AC57 2018.0782       -13.009        -3.301        -0.144   1.039   0.769   3.172
AC57 2019.6194        -2.204         0.688         4.880   1.380   1.025   4.193
AC58 2009.3224        -0.593        -3.656        -2.568   1.749   1.285   5.368
AC58 2018.6557         2.319         1.265         1.474   0.964   0.685   2.842
AC59 2006.1574        -5.549         2.035        -3.354   1.158   0.785   3.326
AC59 2008.0602         0.451         0.873        -4.734   1.163   0.790   3.323
AC59 2009.5387        -3.420         0.745         0.529   1.171   0.796   3.355
AC59 2010.9185         0.142         2.729        -3.358   1.217   0.832   3.484
AC59 2011.9754        -0.158        -0.663        -6.329   1.235   0.845   3.522
AC59 2015.1239         1.649        -2.044        -1.660   1.303   0.880   3.705
AC59 2018.0616         7.479        -5.349        -2.570   1.241   0.832   3.580
AC59 2019.0281         3.463        -0.923         0.564   1.275   0.856   3.693
AC60 2013.8535         0.580        -3.151         1.109   1.368   0.965   3.751
AC60 2014.4778        -1.458       -16.077         2.577   1.593   1.123   4.353
AC60 2015.1679        -0.512        -5.602        -1.214   1.378   0.972   3.788
AC60 2017.5578         4.961        19.634        -1.815   1.242   0.875   3.450
AC60 2018.4230         3.729         3.298        -2.925   1.460   1.023   4.022
AC60 2018.9541         1.444         4.001         1.628   1.406   0.983   3.872
AC62 2005.0130         0.142        -5.947        -4.084   1.961   1.390   6.017
AC62 2005.3771         1.865        -5.440         4.422   1.850   1.316   5.694
AC62 2006.0096         0.129        -6.442        -1.471   1.504   1.078   4.646
AC62 2006.7789         0.628        -5.324        -1.716   1.387   0.998   4.309
AC62 2007.5893         1.521        -5.160         1.490   1.302   0.935   4.052
AC62 2009.0486         9.881         8.282         1.527   2.627   1.908   8.220
AC62 2009.1718        -8.951       -11.698        -4.412   2.883   2.085   8.935
AC62 2009.5168        -1.179        -3.372         4.312   1.619   1.155   4.907
AC62 2012.1177        -1.116        -1.274        -5.415   1.197   0.866   3.722
AC62 2015.8686         0.800         8.455         2.181   2.460   1.710   7.430
AC62 2016.0055        -1.229        -5.923        -2.711   2.457   1.705   7.420
AC62 2017.9357        -4.647         3.999         0.189   1.091   0.778   3.418
AC62 2019.8823         0.898         6.011         5.976   1.776   1.254   5.374
AC63 2005.1663        -3.507         3.024        -1.617   1.923   1.399   6.250
AC63 2005.5113        -1.167         3.701         4.863   1.784   1.302   5.804
AC63 2006.5024        -3.186         3.599         0.958   1.224   0.898   3.969
AC63 2007.6112         0.259         2.524         5.195   1.198   0.879   3.854
AC63 2008.6598        -0.756         2.067        -3.082   1.254   0.920   4.015
AC63 2009.5633        -1.384         0.445         7.621   1.222   0.893   3.926
AC63 2014.7132         1.731        -1.457         2.286   1.112   0.809   3.569
AC63 2016.6516         2.005        -1.518         4.132   1.026   0.739   3.326
AC63 2018.0643        -2.642        -2.466        -1.080   1.333   0.964   4.354
AC63 2018.6557         1.309         0.440         3.839   1.366   0.991   4.463
AC64 2004.9035         7.274        -7.466        -3.719   2.663   1.537   9.092
AC64 2005.4483         7.833        -5.809         7.402   2.631   1.524   9.034
AC64 2005.8426         6.794        -5.768         2.580   2.585   1.500   8.840
AC64 2006.4394        29.311         9.445        -0.724   2.910   1.677   9.939
AC64 2006.7187       -18.870       -13.639         6.338   2.762   1.582   9.372
AC64 2007.5866         8.873        -5.704         5.184   1.705   0.994   5.696
AC64 2009.3006        10.228        -8.695         1.063   1.779   1.027   6.131
AC64 2010.9788         4.331        -2.536        -0.187   1.591   0.925   5.599
AC64 2012.9500         1.347        -2.510        -7.084   1.563   0.901   5.534
AC64 2018.0643        -7.765         0.006        -4.088   1.550   0.892   5.685
AC65 2004.8378         9.363        -4.288         7.692   2.267   1.746   8.292
AC65 2005.6838        14.507        -5.606        10.534   1.494   1.136   5.402
AC65 2006.7643        12.854        -4.188         8.964   1.278   0.979   4.670
AC65 2009.6318        14.062        -4.442         8.687   1.567   1.216   6.125
AC65 2016.9447        -4.053        -2.878        -9.098   1.262   0.992   5.097
AC65 2018.1492        -9.769         1.385        -0.087   1.154   0.911   4.679
AC66 2006.1465        -2.367         3.251         4.488   2.217   1.600   6.259
AC66 2006.5161        -4.939         5.906         1.512   1.802   1.309   5.146
AC66 2008.9557       -36.926        34.146         1.921   3.280   2.362   9.194
AC66 2012.7584         4.489        -3.868        -1.705   2.007   1.437   5.538
AC66 2014.4778        35.711       -20.629       -28.012   2.252   1.622   6.277
AC66 2020.0383        41.411       -33.752        -6.947  14.044  10.277  41.465
AC67 2008.2026         3.933        -0.289        -3.424   1.324   0.899   3.800
AC67 2009.3361        -3.468         6.225         3.965   1.347   0.913   3.881
AC67 2011.8850        -5.057         3.626         0.261   1.307   0.893   3.766
AC67 2012.6352        -4.054         3.479         5.396   1.286   0.876   3.697
AC67 2014.8939         0.777        -1.447        -5.554   1.266   0.850   3.655
AC67 2018.0643        14.703       -27.151         1.739   1.274   0.845   3.691
AC70 2008.9336        -0.312        -1.288        -6.430   1.335   0.944   4.089
AC70 2009.5305        -4.706        -2.054         8.346   1.342   0.946   4.120
AC70 2010.8994        -1.979        -0.823        -5.531   1.090   0.770   3.347
AC70 2011.9699        -3.237         1.223        -2.449   1.027   0.726   3.148
AC71 2010.2779        -4.479         4.205         0.448   1.145   0.812   3.556
AC71 2012.2464        -1.650         1.901        -0.879   0.929   0.662   2.896
AC72 2008.9938        -4.653         5.808        -3.184   1.422   0.910   4.637
AC72 2011.9973        -1.814         1.737        -4.858   1.153   0.741   3.818
AC74 2011.2416        -6.078        -0.830         0.128   1.063   0.739   3.258
AC75 2010.0094        -6.415         0.712         0.618   1.160   0.823   3.479
AC75 2011.2936        -2.708         1.917        -4.555   1.277   0.910   3.825
AC75 2012.1068        -3.851         0.078        -1.401   1.218   0.867   3.639
AC75 2013.1088        -2.999         1.105        -2.726   1.056   0.748   3.151
AC76 2009.5551         0.105         2.170         4.518   1.266   0.876   3.772
AC76 2012.8405        -5.352        -1.181        -0.403   1.348   0.936   3.976
AC76 2013.4894         3.662         0.273         0.251   1.351   0.935   3.974
